ObservationDate,Country/Region,Confirmed,Deaths,Recovered
01/22/2020,Hong Kong,0.0,0.0,0.0
01/22/2020,Japan,2.0,0.0,0.0
01/22/2020,Macau,1.0,0.0,0.0
01/22/2020,Mainland China,547.0,17.0,28.0
01/22/2020,South Korea,1.0,0.0,0.0
01/22/2020,Taiwan,1.0,0.0,0.0
01/22/2020,Thailand,2.0,0.0,0.0
01/22/2020,US,1.0,0.0,0.0
01/23/2020,Australia,0.0,0.0,0.0
01/23/2020,Brazil,0.0,0.0,0.0
01/23/2020,Colombia,0.0,0.0,0.0
01/23/2020,Hong Kong,2.0,0.0,0.0
01/23/2020,Japan,1.0,0.0,0.0
01/23/2020,Macau,2.0,0.0,0.0
01/23/2020,Mainland China,639.0,18.0,30.0
01/23/2020,Malaysia,0.0,0.0,0.0
01/23/2020,Mexico,0.0,0.0,0.0
01/23/2020,Philippines,0.0,0.0,0.0
01/23/2020,Singapore,1.0,0.0,0.0
01/23/2020,South Korea,1.0,0.0,0.0
01/23/2020,Taiwan,1.0,0.0,0.0
01/23/2020,Thailand,3.0,0.0,0.0
01/23/2020,US,1.0,0.0,0.0
01/23/2020,Vietnam,2.0,0.0,0.0
01/24/2020,France,2.0,0.0,0.0
01/24/2020,Hong Kong,2.0,0.0,0.0
01/24/2020,Japan,2.0,0.0,0.0
01/24/2020,Macau,2.0,0.0,0.0
01/24/2020,Mainland China,916.0,26.0,36.0
01/24/2020,Singapore,3.0,0.0,0.0
01/24/2020,South Korea,2.0,0.0,0.0
01/24/2020,Taiwan,3.0,0.0,0.0
01/24/2020,Thailand,5.0,0.0,0.0
01/24/2020,US,2.0,0.0,0.0
01/24/2020,Vietnam,2.0,0.0,0.0
01/25/2020,Australia,4.0,0.0,0.0
01/25/2020,France,3.0,0.0,0.0
01/25/2020,Hong Kong,5.0,0.0,0.0
01/25/2020,Japan,2.0,0.0,0.0
01/25/2020,Macau,2.0,0.0,0.0
01/25/2020,Mainland China,1399.0,42.0,39.0
01/25/2020,Malaysia,3.0,0.0,0.0
01/25/2020,Nepal,1.0,0.0,0.0
01/25/2020,Singapore,3.0,0.0,0.0
01/25/2020,South Korea,2.0,0.0,0.0
01/25/2020,Taiwan,3.0,0.0,0.0
01/25/2020,Thailand,7.0,0.0,0.0
01/25/2020,US,2.0,0.0,0.0
01/25/2020,Vietnam,2.0,0.0,0.0
01/26/2020,Australia,4.0,0.0,0.0
01/26/2020,Canada,1.0,0.0,0.0
01/26/2020,France,3.0,0.0,0.0
01/26/2020,Hong Kong,8.0,0.0,0.0
01/26/2020,Japan,4.0,0.0,1.0
01/26/2020,Macau,5.0,0.0,0.0
01/26/2020,Mainland China,2062.0,56.0,49.0
01/26/2020,Malaysia,4.0,0.0,0.0
01/26/2020,Nepal,1.0,0.0,0.0
01/26/2020,Singapore,4.0,0.0,0.0
01/26/2020,South Korea,3.0,0.0,0.0
01/26/2020,Taiwan,4.0,0.0,0.0
01/26/2020,Thailand,8.0,0.0,2.0
01/26/2020,US,5.0,0.0,0.0
01/26/2020,Vietnam,2.0,0.0,0.0
01/27/2020,Australia,5.0,0.0,0.0
01/27/2020,Cambodia,1.0,0.0,0.0
01/27/2020,Canada,1.0,0.0,0.0
01/27/2020,France,3.0,0.0,0.0
01/27/2020,Hong Kong,8.0,0.0,0.0
01/27/2020,Ivory Coast,1.0,0.0,0.0
01/27/2020,Japan,4.0,0.0,1.0
01/27/2020,Macau,6.0,0.0,0.0
01/27/2020,Mainland China,2863.0,82.0,58.0
01/27/2020,Malaysia,4.0,0.0,0.0
01/27/2020,Nepal,1.0,0.0,0.0
01/27/2020,Singapore,5.0,0.0,0.0
01/27/2020,South Korea,4.0,0.0,0.0
01/27/2020,Sri Lanka,1.0,0.0,0.0
01/27/2020,Taiwan,5.0,0.0,0.0
01/27/2020,Thailand,8.0,0.0,2.0
01/27/2020,US,5.0,0.0,0.0
01/27/2020,Vietnam,2.0,0.0,0.0
01/28/2020,Australia,5.0,0.0,0.0
01/28/2020,Cambodia,1.0,0.0,0.0
01/28/2020,Canada,2.0,0.0,0.0
01/28/2020,France,4.0,0.0,0.0
01/28/2020,Germany,4.0,0.0,0.0
01/28/2020,Hong Kong,8.0,0.0,0.0
01/28/2020,Japan,7.0,0.0,1.0
01/28/2020,Macau,7.0,0.0,0.0
01/28/2020,Mainland China,5494.0,131.0,101.0
01/28/2020,Malaysia,4.0,0.0,0.0
01/28/2020,Nepal,1.0,0.0,0.0
01/28/2020,Singapore,7.0,0.0,0.0
01/28/2020,South Korea,4.0,0.0,0.0
01/28/2020,Sri Lanka,1.0,0.0,0.0
01/28/2020,Taiwan,8.0,0.0,0.0
01/28/2020,Thailand,14.0,0.0,5.0
01/28/2020,US,5.0,0.0,0.0
01/28/2020,Vietnam,2.0,0.0,0.0
01/29/2020,Australia,5.0,0.0,0.0
01/29/2020,Cambodia,1.0,0.0,0.0
01/29/2020,Canada,2.0,0.0,0.0
01/29/2020,Finland,1.0,0.0,0.0
01/29/2020,France,5.0,0.0,0.0
01/29/2020,Germany,4.0,0.0,0.0
01/29/2020,Hong Kong,10.0,0.0,0.0
01/29/2020,Japan,7.0,0.0,1.0
01/29/2020,Macau,7.0,0.0,0.0
01/29/2020,Mainland China,6070.0,133.0,120.0
01/29/2020,Malaysia,7.0,0.0,0.0
01/29/2020,Nepal,1.0,0.0,0.0
01/29/2020,Singapore,7.0,0.0,0.0
01/29/2020,South Korea,4.0,0.0,0.0
01/29/2020,Sri Lanka,1.0,0.0,0.0
01/29/2020,Taiwan,8.0,0.0,0.0
01/29/2020,Thailand,14.0,0.0,5.0
01/29/2020,US,5.0,0.0,0.0
01/29/2020,United Arab Emirates,4.0,0.0,0.0
01/29/2020,Vietnam,2.0,0.0,0.0
01/30/2020,Australia,9.0,0.0,2.0
01/30/2020,Cambodia,1.0,0.0,0.0
01/30/2020,Canada,3.0,0.0,0.0
01/30/2020,Finland,1.0,0.0,0.0
01/30/2020,France,5.0,0.0,0.0
01/30/2020,Germany,4.0,0.0,0.0
01/30/2020,Hong Kong,10.0,0.0,0.0
01/30/2020,India,1.0,0.0,0.0
01/30/2020,Japan,11.0,0.0,1.0
01/30/2020,Macau,7.0,0.0,0.0
01/30/2020,Mainland China,8124.0,171.0,135.0
01/30/2020,Malaysia,8.0,0.0,0.0
01/30/2020,Nepal,1.0,0.0,0.0
01/30/2020,Philippines,1.0,0.0,0.0
01/30/2020,Singapore,10.0,0.0,0.0
01/30/2020,South Korea,4.0,0.0,0.0
01/30/2020,Sri Lanka,1.0,0.0,0.0
01/30/2020,Taiwan,9.0,0.0,0.0
01/30/2020,Thailand,14.0,0.0,5.0
01/30/2020,US,5.0,0.0,0.0
01/30/2020,United Arab Emirates,4.0,0.0,0.0
01/30/2020,Vietnam,2.0,0.0,0.0
01/31/2020,Australia,9.0,0.0,2.0
01/31/2020,Cambodia,1.0,0.0,0.0
01/31/2020,Canada,3.0,0.0,0.0
01/31/2020,Finland,1.0,0.0,0.0
01/31/2020,France,5.0,0.0,0.0
01/31/2020,Germany,5.0,0.0,0.0
01/31/2020,Hong Kong,12.0,0.0,0.0
01/31/2020,India,1.0,0.0,0.0
01/31/2020,Italy,2.0,0.0,0.0
01/31/2020,Japan,15.0,0.0,1.0
01/31/2020,Macau,7.0,0.0,0.0
01/31/2020,Mainland China,9783.0,213.0,214.0
01/31/2020,Malaysia,8.0,0.0,0.0
01/31/2020,Nepal,1.0,0.0,0.0
01/31/2020,Philippines,1.0,0.0,0.0
01/31/2020,Russia,2.0,0.0,0.0
01/31/2020,Singapore,13.0,0.0,0.0
01/31/2020,South Korea,11.0,0.0,0.0
01/31/2020,Sri Lanka,1.0,0.0,0.0
01/31/2020,Sweden,1.0,0.0,0.0
01/31/2020,Taiwan,10.0,0.0,0.0
01/31/2020,Thailand,19.0,0.0,5.0
01/31/2020,UK,2.0,0.0,0.0
01/31/2020,US,6.0,0.0,0.0
01/31/2020,United Arab Emirates,4.0,0.0,0.0
01/31/2020,Vietnam,2.0,0.0,0.0
02/01/2020,Australia,12.0,0.0,2.0
02/01/2020,Cambodia,1.0,0.0,0.0
02/01/2020,Canada,4.0,0.0,0.0
02/01/2020,Finland,1.0,0.0,0.0
02/01/2020,France,6.0,0.0,0.0
02/01/2020,Germany,8.0,0.0,0.0
02/01/2020,Hong Kong,13.0,0.0,0.0
02/01/2020,India,1.0,0.0,0.0
02/01/2020,Italy,2.0,0.0,0.0
02/01/2020,Japan,20.0,0.0,1.0
02/01/2020,Macau,7.0,0.0,0.0
02/01/2020,Mainland China,11871.0,259.0,275.0
02/01/2020,Malaysia,8.0,0.0,0.0
02/01/2020,Nepal,1.0,0.0,0.0
02/01/2020,Philippines,1.0,0.0,0.0
02/01/2020,Russia,2.0,0.0,0.0
02/01/2020,Singapore,16.0,0.0,0.0
02/01/2020,South Korea,12.0,0.0,0.0
02/01/2020,Spain,1.0,0.0,0.0
02/01/2020,Sri Lanka,1.0,0.0,0.0
02/01/2020,Sweden,1.0,0.0,0.0
02/01/2020,Taiwan,10.0,0.0,0.0
02/01/2020,Thailand,19.0,0.0,5.0
02/01/2020,UK,2.0,0.0,0.0
02/01/2020,US,8.0,0.0,0.0
02/01/2020,United Arab Emirates,4.0,0.0,0.0
02/01/2020,Vietnam,6.0,0.0,1.0
02/02/2020,Australia,12.0,0.0,2.0
02/02/2020,Cambodia,1.0,0.0,0.0
02/02/2020,Canada,4.0,0.0,0.0
02/02/2020,Finland,1.0,0.0,0.0
02/02/2020,France,6.0,0.0,0.0
02/02/2020,Germany,10.0,0.0,0.0
02/02/2020,Hong Kong,15.0,0.0,0.0
02/02/2020,India,2.0,0.0,0.0
02/02/2020,Italy,2.0,0.0,0.0
02/02/2020,Japan,20.0,0.0,1.0
02/02/2020,Macau,8.0,0.0,0.0
02/02/2020,Mainland China,16607.0,361.0,463.0
02/02/2020,Malaysia,8.0,0.0,0.0
02/02/2020,Nepal,1.0,0.0,0.0
02/02/2020,Philippines,2.0,1.0,0.0
02/02/2020,Russia,2.0,0.0,0.0
02/02/2020,Singapore,18.0,0.0,0.0
02/02/2020,South Korea,15.0,0.0,0.0
02/02/2020,Spain,1.0,0.0,0.0
02/02/2020,Sri Lanka,1.0,0.0,0.0
02/02/2020,Sweden,1.0,0.0,0.0
02/02/2020,Taiwan,10.0,0.0,0.0
02/02/2020,Thailand,19.0,0.0,5.0
02/02/2020,UK,2.0,0.0,0.0
02/02/2020,US,8.0,0.0,0.0
02/02/2020,United Arab Emirates,5.0,0.0,0.0
02/02/2020,Vietnam,6.0,0.0,1.0
02/03/2020,Australia,12.0,0.0,2.0
02/03/2020,Cambodia,1.0,0.0,0.0
02/03/2020,Canada,4.0,0.0,0.0
02/03/2020,Finland,1.0,0.0,0.0
02/03/2020,France,6.0,0.0,0.0
02/03/2020,Germany,12.0,0.0,0.0
02/03/2020,Hong Kong,15.0,0.0,0.0
02/03/2020,India,3.0,0.0,0.0
02/03/2020,Italy,2.0,0.0,0.0
02/03/2020,Japan,20.0,0.0,1.0
02/03/2020,Macau,8.0,0.0,0.0
02/03/2020,Mainland China,19693.0,425.0,614.0
02/03/2020,Malaysia,8.0,0.0,0.0
02/03/2020,Nepal,1.0,0.0,0.0
02/03/2020,Philippines,2.0,1.0,0.0
02/03/2020,Russia,2.0,0.0,0.0
02/03/2020,Singapore,18.0,0.0,0.0
02/03/2020,South Korea,15.0,0.0,0.0
02/03/2020,Spain,1.0,0.0,0.0
02/03/2020,Sri Lanka,1.0,0.0,0.0
02/03/2020,Sweden,1.0,0.0,0.0
02/03/2020,Taiwan,10.0,0.0,0.0
02/03/2020,Thailand,19.0,0.0,5.0
02/03/2020,UK,2.0,0.0,0.0
02/03/2020,US,11.0,0.0,0.0
02/03/2020,United Arab Emirates,5.0,0.0,0.0
02/03/2020,Vietnam,8.0,0.0,1.0
02/04/2020,Australia,13.0,0.0,2.0
02/04/2020,Belgium,1.0,0.0,0.0
02/04/2020,Cambodia,1.0,0.0,0.0
02/04/2020,Canada,4.0,0.0,0.0
02/04/2020,Finland,1.0,0.0,0.0
02/04/2020,France,6.0,0.0,0.0
02/04/2020,Germany,12.0,0.0,0.0
02/04/2020,Hong Kong,17.0,1.0,0.0
02/04/2020,India,3.0,0.0,0.0
02/04/2020,Italy,2.0,0.0,0.0
02/04/2020,Japan,22.0,0.0,1.0
02/04/2020,Macau,10.0,0.0,0.0
02/04/2020,Mainland China,23680.0,490.0,843.0
02/04/2020,Malaysia,10.0,0.0,0.0
02/04/2020,Nepal,1.0,0.0,0.0
02/04/2020,Philippines,2.0,1.0,0.0
02/04/2020,Russia,2.0,0.0,0.0
02/04/2020,Singapore,24.0,0.0,0.0
02/04/2020,South Korea,16.0,0.0,0.0
02/04/2020,Spain,1.0,0.0,0.0
02/04/2020,Sri Lanka,1.0,0.0,0.0
02/04/2020,Sweden,1.0,0.0,0.0
02/04/2020,Taiwan,11.0,0.0,0.0
02/04/2020,Thailand,25.0,0.0,5.0
02/04/2020,UK,2.0,0.0,0.0
02/04/2020,US,11.0,0.0,0.0
02/04/2020,United Arab Emirates,5.0,0.0,0.0
02/04/2020,Vietnam,8.0,0.0,1.0
02/05/2020,Australia,13.0,0.0,2.0
02/05/2020,Belgium,1.0,0.0,0.0
02/05/2020,Cambodia,1.0,0.0,0.0
02/05/2020,Canada,5.0,0.0,0.0
02/05/2020,Finland,1.0,0.0,0.0
02/05/2020,France,6.0,0.0,0.0
02/05/2020,Germany,12.0,0.0,0.0
02/05/2020,Hong Kong,21.0,1.0,0.0
02/05/2020,India,3.0,0.0,0.0
02/05/2020,Italy,2.0,0.0,0.0
02/05/2020,Japan,22.0,0.0,1.0
02/05/2020,Macau,10.0,0.0,0.0
02/05/2020,Mainland China,27409.0,562.0,1115.0
02/05/2020,Malaysia,12.0,0.0,0.0
02/05/2020,Nepal,1.0,0.0,0.0
02/05/2020,Philippines,2.0,1.0,0.0
02/05/2020,Russia,2.0,0.0,0.0
02/05/2020,Singapore,28.0,0.0,0.0
02/05/2020,South Korea,19.0,0.0,0.0
02/05/2020,Spain,1.0,0.0,0.0
02/05/2020,Sri Lanka,1.0,0.0,0.0
02/05/2020,Sweden,1.0,0.0,0.0
02/05/2020,Taiwan,11.0,0.0,0.0
02/05/2020,Thailand,25.0,0.0,5.0
02/05/2020,UK,2.0,0.0,0.0
02/05/2020,US,12.0,0.0,0.0
02/05/2020,United Arab Emirates,5.0,0.0,0.0
02/05/2020,Vietnam,8.0,0.0,1.0
02/06/2020,Australia,14.0,0.0,2.0
02/06/2020,Belgium,1.0,0.0,0.0
02/06/2020,Cambodia,1.0,0.0,0.0
02/06/2020,Canada,5.0,0.0,0.0
02/06/2020,Finland,1.0,0.0,0.0
02/06/2020,France,6.0,0.0,0.0
02/06/2020,Germany,12.0,0.0,0.0
02/06/2020,Hong Kong,24.0,1.0,0.0
02/06/2020,India,3.0,0.0,0.0
02/06/2020,Italy,2.0,0.0,0.0
02/06/2020,Japan,45.0,0.0,1.0
02/06/2020,Macau,10.0,0.0,1.0
02/06/2020,Mainland China,30553.0,632.0,1476.0
02/06/2020,Malaysia,12.0,0.0,0.0
02/06/2020,Nepal,1.0,0.0,0.0
02/06/2020,Philippines,2.0,1.0,0.0
02/06/2020,Russia,2.0,0.0,0.0
02/06/2020,Singapore,28.0,0.0,0.0
02/06/2020,South Korea,23.0,0.0,0.0
02/06/2020,Spain,1.0,0.0,0.0
02/06/2020,Sri Lanka,1.0,0.0,0.0
02/06/2020,Sweden,1.0,0.0,0.0
02/06/2020,Taiwan,16.0,0.0,1.0
02/06/2020,Thailand,25.0,0.0,5.0
02/06/2020,UK,2.0,0.0,0.0
02/06/2020,US,12.0,0.0,0.0
02/06/2020,United Arab Emirates,5.0,0.0,0.0
02/06/2020,Vietnam,10.0,0.0,1.0
02/07/2020,Australia,15.0,0.0,2.0
02/07/2020,Belgium,1.0,0.0,0.0
02/07/2020,Cambodia,1.0,0.0,0.0
02/07/2020,Canada,7.0,0.0,0.0
02/07/2020,Finland,1.0,0.0,0.0
02/07/2020,France,6.0,0.0,0.0
02/07/2020,Germany,13.0,0.0,0.0
02/07/2020,Hong Kong,25.0,1.0,0.0
02/07/2020,India,3.0,0.0,0.0
02/07/2020,Italy,3.0,0.0,0.0
02/07/2020,Japan,25.0,0.0,1.0
02/07/2020,Macau,10.0,0.0,1.0
02/07/2020,Mainland China,34075.0,717.0,1998.0
02/07/2020,Malaysia,12.0,0.0,1.0
02/07/2020,Nepal,1.0,0.0,0.0
02/07/2020,Others,61.0,0.0,0.0
02/07/2020,Philippines,3.0,1.0,0.0
02/07/2020,Russia,2.0,0.0,0.0
02/07/2020,Singapore,30.0,0.0,0.0
02/07/2020,South Korea,24.0,0.0,1.0
02/07/2020,Spain,1.0,0.0,0.0
02/07/2020,Sri Lanka,1.0,0.0,0.0
02/07/2020,Sweden,1.0,0.0,0.0
02/07/2020,Taiwan,16.0,0.0,1.0
02/07/2020,Thailand,25.0,0.0,5.0
02/07/2020,UK,3.0,0.0,0.0
02/07/2020,US,12.0,0.0,0.0
02/07/2020,United Arab Emirates,5.0,0.0,0.0
02/07/2020,Vietnam,10.0,0.0,1.0
02/08/2020,Australia,15.0,0.0,2.0
02/08/2020,Belgium,1.0,0.0,0.0
02/08/2020,Cambodia,1.0,0.0,0.0
02/08/2020,Canada,7.0,0.0,0.0
02/08/2020,Finland,1.0,0.0,0.0
02/08/2020,France,11.0,0.0,0.0
02/08/2020,Germany,13.0,0.0,0.0
02/08/2020,Hong Kong,26.0,1.0,0.0
02/08/2020,India,3.0,0.0,0.0
02/08/2020,Italy,3.0,0.0,0.0
02/08/2020,Japan,25.0,0.0,1.0
02/08/2020,Macau,10.0,0.0,1.0
02/08/2020,Mainland China,36778.0,804.0,2595.0
02/08/2020,Malaysia,16.0,0.0,1.0
02/08/2020,Nepal,1.0,0.0,0.0
02/08/2020,Others,61.0,0.0,0.0
02/08/2020,Philippines,3.0,1.0,0.0
02/08/2020,Russia,2.0,0.0,0.0
02/08/2020,Singapore,33.0,0.0,2.0
02/08/2020,South Korea,24.0,0.0,1.0
02/08/2020,Spain,1.0,0.0,0.0
02/08/2020,Sri Lanka,1.0,0.0,1.0
02/08/2020,Sweden,1.0,0.0,0.0
02/08/2020,Taiwan,17.0,0.0,1.0
02/08/2020,Thailand,32.0,0.0,10.0
02/08/2020,UK,3.0,0.0,0.0
02/08/2020,US,12.0,0.0,0.0
02/08/2020,United Arab Emirates,7.0,0.0,0.0
02/08/2020,Vietnam,13.0,0.0,1.0
02/09/2020,Australia,15.0,0.0,2.0
02/09/2020,Belgium,1.0,0.0,0.0
02/09/2020,Cambodia,1.0,0.0,0.0
02/09/2020,Canada,7.0,0.0,0.0
02/09/2020,Finland,1.0,0.0,0.0
02/09/2020,France,11.0,0.0,0.0
02/09/2020,Germany,14.0,0.0,0.0
02/09/2020,Hong Kong,29.0,1.0,0.0
02/09/2020,India,3.0,0.0,0.0
02/09/2020,Italy,3.0,0.0,0.0
02/09/2020,Japan,26.0,0.0,1.0
02/09/2020,Macau,10.0,0.0,1.0
02/09/2020,Mainland China,39790.0,904.0,3218.0
02/09/2020,Malaysia,16.0,0.0,1.0
02/09/2020,Nepal,1.0,0.0,0.0
02/09/2020,Others,64.0,0.0,0.0
02/09/2020,Philippines,3.0,1.0,0.0
02/09/2020,Russia,2.0,0.0,0.0
02/09/2020,Singapore,40.0,0.0,2.0
02/09/2020,South Korea,25.0,0.0,3.0
02/09/2020,Spain,2.0,0.0,0.0
02/09/2020,Sri Lanka,1.0,0.0,1.0
02/09/2020,Sweden,1.0,0.0,0.0
02/09/2020,Taiwan,18.0,0.0,1.0
02/09/2020,Thailand,32.0,0.0,10.0
02/09/2020,UK,3.0,0.0,0.0
02/09/2020,US,12.0,0.0,3.0
02/09/2020,United Arab Emirates,7.0,0.0,0.0
02/09/2020,Vietnam,13.0,0.0,1.0
02/10/2020,Australia,15.0,0.0,2.0
02/10/2020,Belgium,1.0,0.0,0.0
02/10/2020,Cambodia,1.0,0.0,0.0
02/10/2020,Canada,7.0,0.0,0.0
02/10/2020,Finland,1.0,0.0,0.0
02/10/2020,France,11.0,0.0,0.0
02/10/2020,Germany,14.0,0.0,0.0
02/10/2020,Hong Kong,38.0,1.0,0.0
02/10/2020,India,3.0,0.0,0.0
02/10/2020,Italy,3.0,0.0,0.0
02/10/2020,Japan,26.0,0.0,4.0
02/10/2020,Macau,10.0,0.0,1.0
02/10/2020,Mainland China,42306.0,1011.0,3917.0
02/10/2020,Malaysia,18.0,0.0,1.0
02/10/2020,Nepal,1.0,0.0,0.0
02/10/2020,Others,135.0,0.0,0.0
02/10/2020,Philippines,3.0,1.0,0.0
02/10/2020,Russia,2.0,0.0,0.0
02/10/2020,Singapore,45.0,0.0,2.0
02/10/2020,South Korea,27.0,0.0,3.0
02/10/2020,Spain,2.0,0.0,0.0
02/10/2020,Sri Lanka,1.0,0.0,1.0
02/10/2020,Sweden,1.0,0.0,0.0
02/10/2020,Taiwan,18.0,0.0,1.0
02/10/2020,Thailand,32.0,0.0,10.0
02/10/2020,UK,8.0,0.0,0.0
02/10/2020,US,12.0,0.0,3.0
02/10/2020,United Arab Emirates,8.0,0.0,0.0
02/10/2020,Vietnam,14.0,0.0,1.0
02/11/2020,Australia,15.0,0.0,2.0
02/11/2020,Belgium,1.0,0.0,0.0
02/11/2020,Cambodia,1.0,0.0,0.0
02/11/2020,Canada,7.0,0.0,0.0
02/11/2020,Finland,1.0,0.0,0.0
02/11/2020,France,11.0,0.0,0.0
02/11/2020,Germany,16.0,0.0,0.0
02/11/2020,Hong Kong,49.0,1.0,0.0
02/11/2020,India,3.0,0.0,0.0
02/11/2020,Italy,3.0,0.0,0.0
02/11/2020,Japan,26.0,0.0,9.0
02/11/2020,Macau,10.0,0.0,1.0
02/11/2020,Mainland China,44327.0,1111.0,4635.0
02/11/2020,Malaysia,18.0,0.0,3.0
02/11/2020,Nepal,1.0,0.0,0.0
02/11/2020,Others,135.0,0.0,0.0
02/11/2020,Philippines,3.0,1.0,0.0
02/11/2020,Russia,2.0,0.0,0.0
02/11/2020,Singapore,47.0,0.0,9.0
02/11/2020,South Korea,28.0,0.0,3.0
02/11/2020,Spain,2.0,0.0,0.0
02/11/2020,Sri Lanka,1.0,0.0,1.0
02/11/2020,Sweden,1.0,0.0,0.0
02/11/2020,Taiwan,18.0,0.0,1.0
02/11/2020,Thailand,33.0,0.0,10.0
02/11/2020,UK,8.0,0.0,0.0
02/11/2020,US,13.0,0.0,3.0
02/11/2020,United Arab Emirates,8.0,0.0,0.0
02/11/2020,Vietnam,15.0,0.0,6.0
02/12/2020,Australia,15.0,0.0,2.0
02/12/2020,Belgium,1.0,0.0,0.0
02/12/2020,Cambodia,1.0,0.0,1.0
02/12/2020,Canada,7.0,0.0,1.0
02/12/2020,Finland,1.0,0.0,1.0
02/12/2020,France,11.0,0.0,2.0
02/12/2020,Germany,16.0,0.0,0.0
02/12/2020,Hong Kong,50.0,1.0,1.0
02/12/2020,India,3.0,0.0,0.0
02/12/2020,Italy,3.0,0.0,0.0
02/12/2020,Japan,28.0,0.0,9.0
02/12/2020,Macau,10.0,0.0,2.0
02/12/2020,Mainland China,44699.0,1116.0,5079.0
02/12/2020,Malaysia,18.0,0.0,3.0
02/12/2020,Nepal,1.0,0.0,1.0
02/12/2020,Others,175.0,0.0,0.0
02/12/2020,Philippines,3.0,1.0,1.0
02/12/2020,Russia,2.0,0.0,2.0
02/12/2020,Singapore,50.0,0.0,15.0
02/12/2020,South Korea,28.0,0.0,7.0
02/12/2020,Spain,2.0,0.0,0.0
02/12/2020,Sri Lanka,1.0,0.0,1.0
02/12/2020,Sweden,1.0,0.0,0.0
02/12/2020,Taiwan,18.0,0.0,1.0
02/12/2020,Thailand,33.0,0.0,10.0
02/12/2020,UK,9.0,0.0,1.0
02/12/2020,US,13.0,0.0,3.0
02/12/2020,United Arab Emirates,8.0,0.0,1.0
02/12/2020,Vietnam,15.0,0.0,6.0
02/13/2020,Australia,15.0,0.0,8.0
02/13/2020,Belgium,1.0,0.0,0.0
02/13/2020,Cambodia,1.0,0.0,1.0
02/13/2020,Canada,7.0,0.0,1.0
02/13/2020,Finland,1.0,0.0,1.0
02/13/2020,France,11.0,0.0,2.0
02/13/2020,Germany,16.0,0.0,1.0
02/13/2020,Hong Kong,53.0,1.0,1.0
02/13/2020,India,3.0,0.0,0.0
02/13/2020,Italy,3.0,0.0,0.0
02/13/2020,Japan,28.0,1.0,9.0
02/13/2020,Macau,10.0,0.0,3.0
02/13/2020,Mainland China,59832.0,1368.0,6213.0
02/13/2020,Malaysia,19.0,0.0,3.0
02/13/2020,Nepal,1.0,0.0,1.0
02/13/2020,Others,175.0,0.0,0.0
02/13/2020,Philippines,3.0,1.0,1.0
02/13/2020,Russia,2.0,0.0,2.0
02/13/2020,Singapore,58.0,0.0,15.0
02/13/2020,South Korea,28.0,0.0,7.0
02/13/2020,Spain,2.0,0.0,0.0
02/13/2020,Sri Lanka,1.0,0.0,1.0
02/13/2020,Sweden,1.0,0.0,0.0
02/13/2020,Taiwan,18.0,0.0,1.0
02/13/2020,Thailand,33.0,0.0,12.0
02/13/2020,UK,9.0,0.0,1.0
02/13/2020,US,15.0,0.0,3.0
02/13/2020,United Arab Emirates,8.0,0.0,1.0
02/13/2020,Vietnam,16.0,0.0,7.0
02/14/2020,Australia,15.0,0.0,8.0
02/14/2020,Belgium,1.0,0.0,0.0
02/14/2020,Cambodia,1.0,0.0,1.0
02/14/2020,Canada,7.0,0.0,1.0
02/14/2020,Egypt,1.0,0.0,0.0
02/14/2020,Finland,1.0,0.0,1.0
02/14/2020,France,11.0,0.0,2.0
02/14/2020,Germany,16.0,0.0,1.0
02/14/2020,Hong Kong,56.0,1.0,1.0
02/14/2020,India,3.0,0.0,0.0
02/14/2020,Italy,3.0,0.0,0.0
02/14/2020,Japan,29.0,1.0,9.0
02/14/2020,Macau,10.0,0.0,3.0
02/14/2020,Mainland China,66292.0,1520.0,7973.0
02/14/2020,Malaysia,19.0,0.0,3.0
02/14/2020,Nepal,1.0,0.0,1.0
02/14/2020,Others,218.0,0.0,0.0
02/14/2020,Philippines,3.0,1.0,1.0
02/14/2020,Russia,2.0,0.0,2.0
02/14/2020,Singapore,67.0,0.0,17.0
02/14/2020,South Korea,28.0,0.0,7.0
02/14/2020,Spain,2.0,0.0,0.0
02/14/2020,Sri Lanka,1.0,0.0,1.0
02/14/2020,Sweden,1.0,0.0,0.0
02/14/2020,Taiwan,18.0,0.0,2.0
02/14/2020,Thailand,33.0,0.0,12.0
02/14/2020,UK,9.0,0.0,1.0
02/14/2020,US,15.0,0.0,3.0
02/14/2020,United Arab Emirates,8.0,0.0,1.0
02/14/2020,Vietnam,16.0,0.0,7.0
02/15/2020,Australia,15.0,0.0,8.0
02/15/2020,Belgium,1.0,0.0,0.0
02/15/2020,Cambodia,1.0,0.0,1.0
02/15/2020,Canada,7.0,0.0,1.0
02/15/2020,Egypt,1.0,0.0,0.0
02/15/2020,Finland,1.0,0.0,1.0
02/15/2020,France,12.0,1.0,4.0
02/15/2020,Germany,16.0,0.0,1.0
02/15/2020,Hong Kong,56.0,1.0,1.0
02/15/2020,India,3.0,0.0,0.0
02/15/2020,Italy,3.0,0.0,0.0
02/15/2020,Japan,43.0,1.0,12.0
02/15/2020,Macau,10.0,0.0,3.0
02/15/2020,Mainland China,68347.0,1662.0,9294.0
02/15/2020,Malaysia,22.0,0.0,7.0
02/15/2020,Nepal,1.0,0.0,1.0
02/15/2020,Others,285.0,0.0,0.0
02/15/2020,Philippines,3.0,1.0,1.0
02/15/2020,Russia,2.0,0.0,2.0
